,ID_REF,m2h 1-pvalue,m2h stat,m2h2-pvalue
2502,1555694_a_at,0.9636831907538216,1.7951260543539573,0.07263361849235685
2503,1555695_a_at,0.912723277060477,1.3577171717141043,0.1745534458790462
2504,1555697_at,0.9724191592838548,1.9176005414931163,0.0551616814322904
2505,1555702_a_at,0.09296351291853294,-1.322724461102916,0.18592702583706588
2506,1555703_at,0.26668489506861537,-0.6228702488791509,0.5333697901372307
2507,1555704_at,0.770909514675099,0.741845464957191,0.4581809706498018
2508,1555705_a_at,0.0787241936263573,-1.4137055086920054,0.1574483872527146
2509,1555707_at,0.9390295216360203,1.5466778090145208,0.1219409567279594
2510,1555708_a_at,0.7915556616322058,0.8118308861795674,0.4168886767355884
2511,1555710_at,0.7157904053185303,0.5703811829623685,0.5684191893629393
2512,1555711_x_at,0.8836145412961685,1.1932514318415195,0.2327709174076632
2513,1555713_at,0.8961179784137796,1.2597375820027772,0.20776404317244068
2514,1555715_a_at,0.9481485504466429,1.627161043420254,0.10370289910671426
2515,1555716_a_at,0.8440610158888706,1.0112893366633406,0.3118779682222588
2516,1555717_at,0.23550095395483645,-0.720849838590478,0.4710019079096729
2517,1555718_x_at,0.14690933315657434,-1.0497813183356477,0.2938186663131487
2518,1555719_a_at,0.18705129695093198,-0.8888148495241817,0.37410259390186396
2519,1555722_at,0.7730243840114543,0.7488440070794287,0.4539512319770912
2520,1555723_at,0.40324797025367004,-0.24494897427831777,0.8064959405073401
2521,1555724_s_at,0.992492009274657,2.4319933874775836,0.015015981450685995
2522,1555725_a_at,0.9394504902845651,1.5501770800756396,0.1210990194308699
2523,1555726_at,0.4832528356378319,-0.0419912527334259,0.9665056712756638
2524,1555727_at,0.8329275686708306,0.9657988128687958,0.33414486265833876
2525,1555728_a_at,0.9985152665411545,2.970881130889883,0.0029694669176909866
2526,1555729_a_at,0.9655916256248165,1.8196209517817892,0.06881674875036703
2527,1555730_a_at,0.09180477642618978,-1.3297230032251537,0.18360955285237957
2528,1555731_a_at,0.7333151049313846,0.6228702488791509,0.5333697901372307
2529,1555733_s_at,0.9381807234721737,1.5396792668922832,0.12363855305565244
2530,1555734_x_at,0.17962136311137183,-0.9168090180131323,0.35924272622274367
2531,1555735_a_at,0.9908257350368439,2.358508695194088,0.0183485299263121
2532,1555736_a_at,0.9902937388967675,2.3375130688273753,0.019412522206464857
2533,1555737_a_at,0.9987209025429705,3.0163716546844275,0.002558194914058897
2534,1555738_at,0.6678229600916782,0.43390961157873437,0.6643540798166436
2535,1555740_a_at,0.7263712010519943,0.601874622512438,0.5472575978960115
2536,1555741_at,0.00034403026044001634,-3.394292929285261,0.0006880605208800327
2537,1555742_at,0.9978509022784728,2.8554051858729617,0.004298195443054379
2538,1555743_s_at,0.8203786368886281,0.9168090180131323,0.35924272622274367
2539,1555745_a_at,0.9999999391413291,5.290897844411664,1.2171734173064794e-07
2540,1555746_at,0.9070364870814671,1.322724461102916,0.18592702583706588
2541,1555748_x_at,0.9642370976613044,1.8021245964761952,0.07152580467739117
2542,1555749_at,0.5390257497870962,0.09797958971132711,0.9219485004258077
2543,1555751_a_at,0.028027873620942837,-1.9106019993708787,0.056055747241885674
2544,1555752_at,0.836406561104847,0.9797958971132711,0.32718687779030586
2545,1555753_x_at,0.9967598402626566,2.7224328855504463,0.006480319474686719
2546,1555754_s_at,0.9586861082468134,1.7356384463149375,0.08262778350637301
2547,1555755_at,0.8448966973040475,1.0147886077244594,0.31020660539190514
2548,1555756_a_at,0.9999999983281571,5.913768093290815,3.3436857926676543e-09
