,ID_REF,m2h 1-pvalue,m2h stat,m2h2-pvalue
44074,234825_at,0.503111287,0.007819047,0.993777425
53546,244296_at,0.503151826,0.007920927,0.993696348
38299,229045_at,0.503183609,0.008000805,0.993632781
43454,234204_at,0.503194714,0.008028714,0.993610571
30613,221330_at,0.503226569,0.00810877,0.993546862
54623,AFFX-DapX-5_at,0.503238729,0.008139331,0.993522542
51336,242087_x_at,0.503260663,0.008194454,0.993478675
14248,204801_s_at,0.503371963,0.008474171,0.993256075
12174,202726_at,0.503372444,0.008475381,0.993255112
51427,242178_at,0.503395573,0.00853351,0.993208853
36955,227701_at,0.503396078,0.008534779,0.993207843
40363,231109_at,0.503425626,0.008609036,0.993148749
10018,200077_s_at,0.503441211,0.008648207,0.993117577
24909,215616_s_at,0.503493017,0.008778405,0.993013965
28894,219610_at,0.503506255,0.008811673,0.99298749
5198,1560153_at,0.503507186,0.008814014,0.992985628
20531,211169_s_at,0.503520244,0.00884683,0.992959513
26219,216929_x_at,0.503541602,0.008900509,0.992916795
9334,1569624_at,0.503547127,0.008914394,0.992905745
9673,1570165_at,0.503599349,0.009045637,0.992801302
2024,1555042_at,0.50361966,0.009096683,0.99276068
25613,216321_s_at,0.503669912,0.009222976,0.992660176
5781,1561128_at,0.503727161,0.009366856,0.992545677
7703,1564660_at,0.503776803,0.009491616,0.992446394
19872,210475_at,0.503832615,0.009631884,0.992334769
41313,232059_at,0.503841927,0.009655285,0.992316147
51,1552314_a_at,0.503848602,0.009672062,0.992302796
43357,234107_s_at,0.503902451,0.009807396,0.992195099
28052,218768_at,0.503935674,0.009890894,0.992128652
7700,1564654_at,0.503947659,0.009921014,0.992104682
8357,1566606_a_at,0.503952216,0.009932467,0.992095567
5150,1560074_at,0.503984103,0.010012607,0.992031793
28774,219490_s_at,0.503988219,0.01002295,0.992023562
21333,212027_at,0.503989685,0.010026635,0.99202063
29501,220217_x_at,0.504051605,0.010182255,0.991896789
43501,234251_at,0.504107655,0.01032312,0.99178469
37315,228061_at,0.504145314,0.010417765,0.991709373
34225,224967_at,0.504177108,0.010497672,0.991645784
15970,206524_at,0.504177675,0.010499097,0.99164465
2642,1555880_at,0.504213986,0.010590355,0.991572028
54207,34478_at,0.504224338,0.010616372,0.991551324
5355,1560449_at,0.504237585,0.010649664,0.991524831
19316,209910_at,0.504367049,0.01097504,0.991265902
3787,1557647_a_at,0.504388693,0.011029436,0.991222615
18212,208797_s_at,0.504420431,0.011109203,0.991159137
3941,1557857_a_at,0.504437062,0.011151001,0.991125875
32170,222891_s_at,0.504444149,0.011168811,0.991111703
17540,208111_at,0.504449126,0.01118132,0.991101748
7897,1565608_at,0.504456169,0.01119902,0.991087663
27422,218137_s_at,0.504468653,0.011230398,0.991062693
53134,243885_x_at,0.504532619,0.01139116,0.990934762
18871,209458_x_at,0.504563701,0.011469276,0.990872598
46885,237636_at,0.504565495,0.011473786,0.99086901
53740,244490_at,0.504585266,0.011523474,0.990829469
23586,214287_s_at,0.504616232,0.011601301,0.990767536
23471,214172_x_at,0.504618537,0.011607094,0.990762926
21454,212148_at,0.50464676,0.011678026,0.99070648
1408,1554216_at,0.504655734,0.01170058,0.990688532
19831,210433_at,0.504669051,0.011734051,0.990661897
51027,241778_at,0.504691044,0.011789325,0.990617911
8328,1566539_at,0.504692361,0.011792633,0.990615279
49474,240225_at,0.504731305,0.01189051,0.990537391
1577,1554452_a_at,0.504756163,0.011952986,0.990487674
9875,1570511_at,0.504858056,0.012209071,0.990283889
41174,231920_s_at,0.504919794,0.012364238,0.990160412
45428,236179_at,0.504949401,0.012438648,0.990101198
34357,225100_at,0.504975726,0.012504812,0.990048547
40144,230890_at,0.504976074,0.012505684,0.990047853
52097,242848_x_at,0.504992781,0.012547676,0.990014437
25763,216472_at,0.505047035,0.01268403,0.989905931
10313,200865_at,0.505091559,0.012795935,0.989816881
14312,204865_at,0.505101578,0.012821115,0.989796843
33458,224186_s_at,0.505135252,0.012905748,0.989729496
41085,231831_at,0.505135272,0.012905799,0.989729455
35904,226649_at,0.505142008,0.012922728,0.989715984
4562,1559044_at,0.5051875,0.013037064,0.989625
30257,220973_s_at,0.505247132,0.013186938,0.989505735
31865,222586_s_at,0.505262885,0.01322653,0.989474229
20622,211270_x_at,0.505310709,0.013346727,0.989378581
17710,208286_x_at,0.505372187,0.01350124,0.989255627
52072,242823_at,0.505383068,0.013528589,0.989233863
44821,235572_at,0.505396701,0.013562853,0.989206598
21645,212340_at,0.505439078,0.01366936,0.989121844
5701,1561015_at,0.505497625,0.013816508,0.98900475
15632,206186_at,0.505508885,0.013844807,0.988982231
6235,1561770_at,0.505513263,0.013855811,0.988973475
30368,221085_at,0.505535088,0.013910665,0.988929824
22174,212869_x_at,0.50554321,0.01393108,0.988913579
10249,200801_x_at,0.505551276,0.013951352,0.988897448
27242,217957_at,0.505643694,0.01418363,0.988712612
25124,215831_at,0.505650303,0.01420024,0.988699395
36425,227170_at,0.505721603,0.014379443,0.988556795
46291,237042_at,0.505748,0.014445788,0.988504
24339,215045_at,0.505760505,0.014477219,0.988478989
32647,223370_at,0.505764206,0.01448652,0.988471588
3960,1557882_at,0.505794743,0.014563272,0.988410513
5140,1560059_at,0.505808386,0.01459756,0.988383229
39915,230661_at,0.505885899,0.014792378,0.988228203
51897,242648_at,0.505895514,0.014816545,0.988208972
7106,1563223_a_at,0.505966215,0.014994245,0.988067569
3115,1556616_a_at,0.505982944,0.015036289,0.988034113
30873,221591_s_at,0.506079062,0.015277873,0.987841875
3450,1557124_at,0.506079739,0.015279573,0.987840523
9220,1569443_s_at,0.506093265,0.01531357,0.98781347
30194,220910_at,0.506107865,0.015350266,0.98778427
38434,229180_at,0.506120534,0.015382107,0.987758933
49398,240149_at,0.506131546,0.015409786,0.987736907
18030,208612_at,0.506137083,0.015423703,0.987725833
38560,229306_at,0.50614218,0.015436513,0.98771564
30740,221457_s_at,0.506149227,0.015454225,0.987701545
1120,1553804_a_at,0.506165257,0.015494513,0.987669487
30878,221596_s_at,0.506208784,0.015603915,0.987582432
52167,242918_at,0.506217558,0.015625968,0.987564884
41531,232277_at,0.506336011,0.01592369,0.987327977
14261,204814_at,0.506354211,0.015969435,0.987291577
32284,223005_s_at,0.506406642,0.016101216,0.987186715
50957,241708_at,0.506428465,0.016156065,0.98714307
51909,242660_at,0.506444828,0.016197194,0.987110343
15730,206284_x_at,0.506451958,0.016215112,0.987096085
5307,1560358_at,0.506468913,0.016257729,0.987062173
422,1552848_a_at,0.506477331,0.016278887,0.987045337
18507,209093_s_at,0.506490045,0.016310843,0.98701991
28830,219546_at,0.506719999,0.016888819,0.986560002
6920,1562937_at,0.506728321,0.016909738,0.986543357
23389,214090_at,0.506735396,0.01692752,0.986529208
9414,1569759_at,0.506757592,0.016983309,0.986484815
17499,208070_s_at,0.506800112,0.017090182,0.986399775
32109,222830_at,0.50680143,0.017093493,0.98639714
49987,240738_at,0.506815684,0.017129321,0.986368631
51555,242306_at,0.506827909,0.017160047,0.986344183
23167,213867_x_at,0.506835305,0.017178637,0.98632939
15645,206199_at,0.506849021,0.017213111,0.986301959
45847,236598_at,0.506857936,0.017235519,0.986284129
13088,203641_s_at,0.506881679,0.017295196,0.986236643
50279,241030_at,0.506881943,0.017295859,0.986236115
5024,1559843_s_at,0.506884382,0.01730199,0.986231237
3427,1557081_at,0.506909072,0.017364048,0.986181857
36368,227113_at,0.506920441,0.017392626,0.986159117
20771,211441_x_at,0.506944128,0.017452161,0.986111744
28034,218750_at,0.506944619,0.017453395,0.986110762
9289,1569552_at,0.506957921,0.017486829,0.986084158
9888,1570542_a_at,0.507040702,0.017694899,0.985918596
38739,229485_x_at,0.507064478,0.01775466,0.985871044
6428,1562152_at,0.50707063,0.017770124,0.985858739
29739,220455_at,0.507110378,0.017870031,0.985779243
11737,202289_s_at,0.507117872,0.017888865,0.985764256
47897,238648_at,0.507120655,0.017895862,0.985758689
